code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
300683,海特生物,生物制药,湖北,51.72,1.051,4.67,15.52,右边股价,72.4784,9.02938901778809,23.62,,9.51,13.8
002883,中设股份,建筑施工,江苏,72.24,0.75,9.06,6.85,右边股价,62.061,12.541528239202659,30.14,,10.8,13.74
300691,联合光电,元器件,广东,100.0,1.04,12.24,8.85,右边股价,108.324,12.24,21.38,1.35,,15.22
000430,张家界,旅游景点,湖南,43.2,0.2,2.61,3.85,右边股价,10.048499999999999,6.041666666666666,,1.57,,
601015,陕西黑猫,焦炭加工,陕西,53.37,0.18,3.06,3.12,右边股价,9.5472,5.733558178752109,8.26,1.08,3.33,
300656,民德电子,电脑设备,深圳,100.22,0.51,8.74,6.68,右边股价,58.3832,8.720814208740771,32.32,4.45,8.73,9.63
603978,深圳新星,铝,深圳,76.15,1.33,6.46,16.21,右边股价,104.7166,8.483256730137885,22.27,3.16,7.21,10.78
002807,江阴银行,银行,江苏,23.39,0.29,1.8,5.02,右边股价,9.036,7.695596408721676,9.92,,,5.84
300532,今天国际,软件服务,深圳,53.7,0.407,6.02,4.85,右边股价,29.196999999999996,11.210428305400372,10.98,,2.92,8.47
300053,欧比特,半导体,广东,84.71,0.146,5.03,3.27,右边股价,16.4481,5.937905796246016,6.31,1.1,2.77,4.54
603136,天目湖,旅游景点,江苏,41.4,1.3,5.75,9.39,右边股价,53.99250000000001,13.88888888888889,,,,15.41
600111,北方稀土,小金属,内蒙,115.75,0.096,6.12,2.42,右边股价,14.8104,5.287257019438445,1.09,0.89,,4.06
002705,新宝股份,家用电器,广东,23.64,0.42,2.86,4.49,右边股价,12.8414,12.09813874788494,17.2,,6.05,9.9
002594,比亚迪,汽车整车,深圳,51.38,0.96,3.53,19.83,右边股价,69.9999,6.870377578824445,12.91,1.15,3.33,5.34
300639,凯普生物,医疗保健,广东,57.72,0.81,5.4,10.21,右边股价,55.13400000000001,9.355509355509355,16.88,,5.95,
601128,常熟银行,银行,江苏,15.0,0.402,1.75,4.58,右边股价,8.015,11.666666666666666,11.91,3.17,5.71,
600732,ST新梅,区域地产,上海,43.84,0.149,8.56,1.02,右边股价,8.731200000000001,19.525547445255473,5.26,6.51,16.91,
603010,万盛股份,化工原料,浙江,61.17,0.393,7.46,4.3,右边股价,32.077999999999996,12.19552068007193,15.21,3.47,6.47,9.35
002185,华天科技,半导体,甘肃,38.63,0.182,3.81,2.46,右边股价,9.3726,9.862800931918198,,,5.06,
603038,华立股份,装修装饰,广东,38.78,1.11,4.06,13.79,右边股价,55.987399999999994,10.46931407942238,20.62,1.0,,
300616,尚品宅配,家居用品,广东,69.33,2.06,7.84,21.99,右边股价,172.40159999999997,11.308235972883312,35.2,,,11.08
600330,天通股份,元器件,浙江,47.81,0.181,2.55,4.52,右边股价,11.525999999999998,5.333612215017778,3.1,1.49,,4.08
300223,北京君正,半导体,北京,645.4,0.041,5.3,6.72,右边股价,35.616,0.821196157421754,0.65,0.19,0.34,0.62
300219,鸿利智汇,元器件,广东,28.09,0.38,3.74,3.65,右边股价,13.651,13.31434674261303,10.4,4.27,9.18,12.22
300327,中颖电子,半导体,上海,61.09,0.452,10.38,3.55,右边股价,36.849000000000004,16.99132427565886,,,8.66,12.81
300657,弘信电子,元器件,福建,112.93,0.53,10.81,6.33,右边股价,68.4273,9.572301425661914,10.04,3.79,7.51,8.44
002503,搜于特,服饰,广东,28.5,0.173,3.65,1.8,右边股价,6.57,12.807017543859649,12.54,2.74,6.83,
300655,晶瑞股份,化工原料,江苏,117.67,0.261,8.7,4.71,右边股价,40.977,7.393558256140052,12.24,,4.5,
600847,*ST万里,电气设备,重庆,663.81,0.019,3.91,4.38,右边股价,17.1258,0.5890239677016014,-6.21,,,0.0
601997,贵阳银行,银行,贵州,8.15,1.3869999999999998,1.47,10.25,右边股价,15.067499999999999,18.03680981595092,,,,14.24
300347,泰格医药,医疗保健,浙江,64.35,0.401,7.23,4.75,右边股价,34.3425,11.235431235431236,,2.63,6.33,9.7
300080,易成新能,半导体,河南,0.0,-0.602,1.3,5.82,右边股价,7.566000000000001,,0.64,0.05,-7.06,-9.85
603776,永安行,公共交通,江苏,70.46,1.02,6.19,12.54,右边股价,77.6226,8.78512631280159,23.86,,10.75,11.82
601088,中国神华,煤炭开采,北京,9.35,1.7919999999999998,1.52,14.69,右边股价,22.3288,16.25668449197861,7.51,3.84,,10.74
002348,高乐股份,文教休闲,广东,119.23,0.044,5.23,1.33,右边股价,6.955900000000001,4.3864799127736305,3.47,0.72,,3.31
000933,神火股份,煤炭开采,河南,15.08,0.468,2.74,3.43,右边股价,9.398200000000001,18.16976127320955,6.29,5.02,10.22,14.51
300632,光莆股份,半导体,福建,57.1,0.42,6.66,4.37,右边股价,29.104200000000002,11.663747810858144,,3.93,7.03,10.42
002241,歌尔股份,元器件,山东,40.06,0.44,5.19,4.39,右边股价,22.7841,12.955566650024961,16.3,2.71,6.46,11.39
603228,景旺电子,元器件,深圳,35.29,1.266,7.76,7.68,右边股价,59.596799999999995,21.98923207707566,,5.15,10.56,17.0
300244,迪安诊断,医疗保健,浙江,48.01,0.46,6.86,4.23,右边股价,29.017800000000005,14.288689856279943,,2.73,8.69,11.8
002223,鱼跃医疗,医疗保健,江苏,32.24,0.526,4.38,5.16,右边股价,22.6008,13.58560794044665,14.32,3.71,7.86,
000506,中润资源,区域地产,山东,0.0,-0.15,5.76,1.43,右边股价,8.236799999999999,,0.6,,-9.58,-9.96
